Date,Pond_ID,Pond_Type,Target_Species,Season,Water_Temp_C,Weather_Condition,Rainfall_mm,pH_Level,Ammonia_ppm,Dissolved_Oxygen_mgL,Mortality_Count,Fish_Count,Daily_Feed_kg,Est_Avg_Weight_g,Feed_Cost_NPR,Labor_Cost_NPR,Market_Price_NPR,Estimated_Revenue_NPR,Daily_Profit_Loss_NPR,Stocking_Density,Harvest_Ready
2025-01-01,GrowOut-A,Farming,Pangasius,Winter,17.0,Cloudy,0.0,7.9,0.05,8.5,0,10000,4.4,50.3,442,523,213,107139,0,Medium,No
2025-01-02,GrowOut-A,Farming,Pangasius,Winter,15.7,Sunny,0.0,6.6,0.02,8.9,1,9999,4.2,50.5,443,512,219,110584,-528,Medium,No
2025-01-03,GrowOut-A,Farming,Pangasius,Winter,15.5,Sunny,0.0,7.4,0.03,8.3,3,9996,5.0,50.9,513,491,214,108882,-181,Medium,No
2025-01-04,GrowOut-A,Farming,Pangasius,Winter,15.5,Cloudy,0.0,6.7,0.05,8.1,1,9995,5.3,51.2,560,476,230,117701,-358,Medium,No
2025-01-05,GrowOut-A,Farming,Pangasius,Winter,19.2,Sunny,0.0,7.1,0.0,8.0,1,9994,4.8,51.5,508,498,221,113747,-355,Medium,No
2025-01-06,GrowOut-A,Farming,Pangasius,Winter,17.5,Rainy,3.6,7.5,0.0,7.2,1,9993,5.3,51.9,556,498,222,115137,-178,Medium,No
2025-01-07,GrowOut-A,Farming,Pangasius,Winter,14.8,Sunny,0.0,7.2,0.02,7.9,0,9993,6.0,52.2,640,485,220,114760,-465,Medium,No
2025-01-08,GrowOut-A,Farming,Pangasius,Winter,14.9,Sunny,0.0,6.9,0.03,9.0,0,9993,5.5,52.5,564,508,222,116468,-406,Medium,No
2025-01-09,GrowOut-A,Farming,Pangasius,Winter,10.8,Sunny,0.0,7.0,0.05,9.0,2,9991,6.0,52.9,643,528,237,125260,-249,Medium,No
2025-01-10,GrowOut-A,Farming,Pangasius,Winter,17.9,Sunny,0.0,7.4,0.08,7.8,2,9989,6.0,53.3,622,503,219,116599,-273,Medium,No
