Date,Pond_ID,Pond_Type,Target_Species,Season,Water_Temp_C,Weather_Condition,Rainfall_mm,pH_Level,Ammonia_ppm,Dissolved_Oxygen_mgL,Mortality_Count,Fish_Count,Daily_Feed_kg,Est_Avg_Weight_g,Feed_Cost_NPR,Labor_Cost_NPR,Market_Price_NPR,Estimated_Revenue_NPR,Daily_Profit_Loss_NPR,Stocking_Density,Harvest_Ready,Temp_Deviation_C,pH_Deviation,Oxygen_Stress,Ammonia_Toxicity_Index,Stress_Index,Density_Oxygen_Pressure,Daily_Weight_Gain_g,Feed_Efficiency_FCR,Mortality_Rate_per_1000,Daily_Cost_Per_Fish_NPR,Month,Day_of_Month,Day_of_Year
2025-01-01,GrowOut-A,Farming,Pangasius,Winter,17.0,Cloudy,0.0,7.9,0.05,8.5,0,10000,4.4,50.3,442,523,213,107139,0,Medium,No,11.0,0.40000000000000036,0.0,0.03837142857142858,1.483714285714286,1.1764705882352942,0.0,0.0,0.0,0.0965,1,1,1
2025-01-02,GrowOut-A,Farming,Pangasius,Winter,15.7,Sunny,0.0,6.6,0.02,8.9,1,9999,4.2,50.5,443,512,219,110584,-528,Medium,No,12.3,0.9000000000000004,0.0,0.011842285714285715,1.3484228571428574,1.1234831460674157,0.20000000000000284,20.9999999999997,0.10001000100010002,0.09550955095509552,1,2,2
2025-01-03,GrowOut-A,Farming,Pangasius,Winter,15.5,Sunny,0.0,7.4,0.03,8.3,3,9996,5.0,50.9,513,491,214,108882,-181,Medium,No,12.5,0.09999999999999964,0.0,0.019662857142857145,1.4466285714285714,1.2043373493975904,0.3999999999999986,12.500000000000044,0.30012004801920766,0.10044017607042817,1,3,3
2025-01-04,GrowOut-A,Farming,Pangasius,Winter,15.5,Cloudy,0.0,6.7,0.05,8.1,1,9995,5.3,51.2,560,476,230,117701,-358,Medium,No,12.5,0.7999999999999998,0.0,0.029671428571428574,1.5467142857142857,1.2339506172839505,0.30000000000000426,17.666666666666416,0.10005002501250626,0.10365182591295648,1,4,4
2025-01-05,GrowOut-A,Farming,Pangasius,Winter,19.2,Sunny,0.0,7.1,0.0,8.0,1,9994,4.8,51.5,508,498,221,113747,-355,Medium,No,8.8,0.40000000000000036,0.0,0.0,0.8800000000000001,1.24925,0.29999999999999716,16.000000000000153,0.10006003602161297,0.10066039623774264,1,5,5
2025-01-06,GrowOut-A,Farming,Pangasius,Winter,17.5,Rainy,3.6,7.5,0.0,7.2,1,9993,5.3,51.9,556,498,222,115137,-178,Medium,No,10.5,0.0,0.0,0.0,1.05,1.3879166666666667,0.3999999999999986,13.250000000000046,0.10007004903432402,0.10547383168217753,1,6,6
2025-01-07,GrowOut-A,Farming,Pangasius,Winter,14.8,Sunny,0.0,7.2,0.02,7.9,0,9993,6.0,52.2,640,485,220,114760,-465,Medium,No,13.2,0.2999999999999998,0.0,0.012178285714285718,1.4417828571428573,1.2649367088607595,0.30000000000000426,19.999999999999716,0.0,0.11257880516361453,1,7,7
2025-01-08,GrowOut-A,Farming,Pangasius,Winter,14.9,Sunny,0.0,6.9,0.03,9.0,0,9993,5.5,52.5,564,508,222,116468,-406,Medium,No,13.1,0.5999999999999996,0.0,0.017624571428571427,1.4862457142857144,1.1103333333333334,0.29999999999999716,18.333333333333506,0.0,0.10727509256479535,1,8,8
2025-01-09,GrowOut-A,Farming,Pangasius,Winter,10.8,Sunny,0.0,7.0,0.05,9.0,2,9991,6.0,52.9,643,528,237,125260,-249,Medium,No,17.2,0.5,0.0,0.021600000000000005,1.936,1.110111111111111,0.3999999999999986,15.000000000000053,0.20018016214593135,0.1172054849364428,1,9,9
2025-01-10,GrowOut-A,Farming,Pangasius,Winter,17.9,Sunny,0.0,7.4,0.08,7.8,2,9989,6.0,53.3,622,503,219,116599,-273,Medium,No,10.100000000000001,0.09999999999999964,0.0,0.060553142857142854,1.6155314285714288,1.2806410256410257,0.3999999999999986,15.000000000000053,0.20022024226649313,0.1126238862749024,1,10,10
2025-01-11,GrowOut-A,Farming,Pangasius,Winter,15.1,Sunny,0.0,7.0,0.07,8.7,0,9989,5.7,53.6,581,502,217,116184,-433,Medium,No,12.9,0.5,0.0,0.042280000000000005,1.7128,1.14816091954023,0.30000000000000426,18.99999999999973,0.0,0.10841926118730603,1,11,11
2025-01-12,GrowOut-A,Farming,Pangasius,Winter,14.5,Sunny,0.0,7.3,0.04,8.8,0,9989,5.9,54.1,616,486,225,121591,22,Medium,No,13.5,0.20000000000000018,0.0,0.024194285714285713,1.591942857142857,1.1351136363636363,0.5,11.8,0.0,0.11032135348883772,1,12,12
2025-01-13,GrowOut-A,Farming,Pangasius,Winter,14.7,Sunny,0.0,7.2,0.04,9.0,2,9987,6.2,54.5,625,521,204,111035,-353,Medium,No,13.3,0.2999999999999998,0.0,0.024192,1.57192,1.1096666666666666,0.3999999999999986,15.500000000000055,0.20026033843997196,0.11474917392610394,1,13,13
2025-01-14,GrowOut-A,Farming,Pangasius,Winter,17.2,Sunny,0.0,7.0,0.01,8.9,2,9985,4.4,54.7,464,499,221,120706,-546,Medium,No,10.8,0.5,0.0,0.00688,1.1488,1.1219101123595505,0.20000000000000284,21.99999999999969,0.200300450676014,0.09644466700050075,1,14,14
2025-01-15,GrowOut-A,Farming,Pangasius,Winter,16.2,Sunny,0.0,7.8,0.04,8.3,1,9984,4.7,55.1,491,491,219,120476,-119,Medium,No,11.8,0.2999999999999998,0.0,0.028882285714285718,1.4688228571428574,1.20289156626506,0.3999999999999986,11.750000000000043,0.1001602564102564,0.09835737179487179,1,15,15
2025-01-16,GrowOut-A,Farming,Pangasius,Winter,15.0,Sunny,0.0,7.4,0.03,8.1,1,9983,6.0,55.5,645,501,214,118568,-303,Medium,No,13.0,0.09999999999999964,0.0,0.01902857142857143,1.4902857142857142,1.2324691358024693,0.3999999999999986,15.000000000000053,0.10017028949213663,0.11479515175798859,1,16,16
2025-01-17,GrowOut-A,Farming,Pangasius,Winter,14.8,Sunny,0.0,6.6,0.05,7.7,3,9980,6.2,55.9,659,507,224,124966,-309,Medium,No,13.2,0.9000000000000004,0.0,0.027908571428571435,1.5990857142857144,1.2961038961038962,0.3999999999999986,15.500000000000055,0.3006012024048096,0.11683366733466934,1,17,17
2025-01-18,GrowOut-A,Farming,Pangasius,Winter,17.9,Sunny,0.0,7.3,0.02,8.3,2,9978,5.6,56.4,572,502,221,124370,4,Medium,No,10.100000000000001,0.20000000000000018,0.0,0.014933714285714286,1.159337142857143,1.202168674698795,0.5,11.2,0.20044097013429546,0.10763680096211665,1,18,18
2025-01-19,GrowOut-A,Farming,Pangasius,Winter,14.0,Sunny,0.0,7.0,0.06,8.2,1,9977,5.1,56.7,527,518,209,118230,-431,Medium,No,14.0,0.5,0.0,0.033600000000000005,1.7360000000000002,1.2167073170731708,0.30000000000000426,16.99999999999976,0.10023053021950487,0.10474090407938258,1,19,19
2025-01-20,GrowOut-A,Farming,Pangasius,Winter,15.7,Sunny,0.0,7.5,0.09,7.5,1,9976,6.7,57.1,710,506,217,123610,-362,Medium,No,12.3,0.0,0.0,0.06055714285714285,1.8355714285714289,1.3301333333333334,0.3999999999999986,16.75000000000006,0.10024057738572574,0.1218925421010425,1,20,20
2025-01-21,GrowOut-A,Farming,Pangasius,Winter,15.5,Sunny,0.0,7.0,0.04,8.2,3,9973,5.1,57.4,544,496,202,115635,-470,Medium,No,12.5,0.5,0.0,0.0248,1.498,1.2162195121951223,0.29999999999999716,17.00000000000016,0.30081219292088635,0.10428156021257395,1,21,21
2025-01-22,GrowOut-A,Farming,Pangasius,Winter,16.8,Sunny,0.0,7.2,0.05,7.7,2,9971,5.8,57.8,623,506,223,128520,-265,Medium,No,11.2,0.2999999999999998,0.0,0.03456000000000001,1.4656,1.2949350649350648,0.3999999999999986,14.500000000000052,0.20058168689198674,0.11322836225052653,1,22,22
2025-01-23,GrowOut-A,Farming,Pangasius,Winter,21.6,Sunny,0.0,7.4,0.06,8.3,3,9968,9.7,58.4,1042,507,223,129815,-254,Medium,No,6.399999999999999,0.09999999999999964,0.0,0.05480228571428572,1.188022857142857,1.2009638554216866,0.6000000000000014,16.16666666666663,0.30096308186195825,0.15539727126805777,1,23,23
2025-01-24,GrowOut-A,Farming,Pangasius,Winter,18.4,Rainy,3.0,7.5,0.03,8.5,1,9967,5.9,58.7,618,481,216,126374,-466,Medium,No,9.600000000000001,0.0,0.0,0.023657142857142856,1.1965714285714286,1.1725882352941177,0.30000000000000426,19.666666666666387,0.10033109260559848,0.11026387077355272,1,24,24
