Date,Pond_ID,Pond_Type,Target_Species,Season,Water_Temp_C,Weather_Condition,Rainfall_mm,pH_Level,Ammonia_ppm,Dissolved_Oxygen_mgL,Mortality_Count,Fish_Count,Daily_Feed_kg,Est_Avg_Weight_g,Feed_Cost_NPR,Labor_Cost_NPR,Market_Price_NPR,Estimated_Revenue_NPR,Daily_Profit_Loss_NPR,Stocking_Density,Harvest_Ready
2022-01-01,GrowOut-A,Farming,Pangasius,Winter,17.0,Cold,0.0,7.1,0.04,11.2,0,9800,4.1,32.7,401,496,195,62490,-1402,Low,No
2022-01-02,GrowOut-A,Farming,Pangasius,Winter,15.7,Cold,0.0,7.2,0.01,11.1,0,9800,2.1,15.5,203,555,194,29469,-1539,Low,No
2022-01-03,GrowOut-A,Farming,Pangasius,Winter,18.1,Sunny,0.0,8.0,0.0,10.9,0,9800,4.2,34.6,434,652,195,66121,-1129,Low,No
2022-01-04,GrowOut-A,Farming,Pangasius,Winter,17.4,Cold,0.0,7.2,0.01,10.8,1,9799,4.0,32.6,414,575,200,63896,-917,Low,No
2022-01-05,GrowOut-A,Farming,Pangasius,Winter,19.6,Partly Cloudy,0.0,7.6,0.01,9.9,0,9799,3.5,28.4,358,605,196,54545,-1070,Low,No
2022-01-06,GrowOut-A,Farming,Pangasius,Winter,17.5,Sunny,0.0,7.0,0.04,10.5,2,9797,4.9,35.5,556,485,197,68529,-1075,Low,No
2022-01-07,GrowOut-A,Farming,Pangasius,Winter,15.9,Sunny,0.0,7.6,0.01,11.2,2,9795,6.7,47.6,662,481,198,92335,-1780,Low,No
2022-01-08,GrowOut-A,Farming,Pangasius,Winter,18.0,Partly Cloudy,0.0,7.6,0.04,10.7,0,9795,3.6,27.5,404,621,201,54142,-1394,Low,No
2022-01-09,GrowOut-A,Farming,Pangasius,Winter,15.2,Cloudy,0.0,7.2,0.03,11.8,2,9793,3.6,25.5,390,766,199,49705,-1780,Low,No
2022-01-10,GrowOut-A,Farming,Pangasius,Winter,17.3,Sunny,0.0,7.3,0.02,10.9,0,9793,6.5,46.5,649,658,198,90164,-1068,Low,No
2022-01-11,GrowOut-A,Farming,Pangasius,Winter,15.6,Sunny,0.0,7.4,0.01,11.8,2,9791,5.5,41.2,558,796,190,76660,-1411,Low,No
2022-01-12,GrowOut-A,Farming,Pangasius,Winter,16.0,Cold,0.0,8.0,0.02,11.1,1,9790,5.6,44.3,539,861,194,84146,-1580,Low,No
2022-01-13,GrowOut-A,Farming,Pangasius,Winter,17.4,Cloudy,0.0,7.2,0.03,11.8,0,9790,6.0,44.4,676,739,197,85631,-1517,Low,No
2022-01-14,GrowOut-A,Farming,Pangasius,Winter,17.1,Cold,0.0,7.6,0.02,11.2,0,9790,3.9,29.2,429,643,195,55744,-1657,Low,No
2022-01-15,GrowOut-A,Farming,Pangasius,Winter,15.1,Cold,0.0,7.3,0.03,11.8,1,9789,6.9,50.8,724,790,201,99964,-2418,Low,No
2022-01-16,GrowOut-A,Farming,Pangasius,Winter,16.9,Sunny,0.0,7.1,0.04,11.1,0,9789,4.9,40.0,524,623,197,77137,-1342,Low,No
2022-01-17,GrowOut-A,Farming,Pangasius,Winter,16.2,Sunny,0.0,7.1,0.01,10.7,2,9787,5.8,42.5,660,756,204,84871,-1243,Low,No
2022-01-18,GrowOut-A,Farming,Pangasius,Winter,18.3,Cloudy,0.0,7.2,0.02,10.7,1,9786,7.1,53.0,723,582,208,107892,-1215,Low,No
2022-01-19,GrowOut-A,Farming,Pangasius,Winter,16.8,Sunny,0.0,7.4,0.02,11.3,0,9786,6.0,48.0,630,530,200,93946,-2130,Low,No
2022-01-20,GrowOut-A,Farming,Pangasius,Winter,16.9,Sunny,0.0,7.6,0.03,11.3,1,9785,4.7,37.3,504,519,201,73369,-1847,Low,No
2022-01-21,GrowOut-A,Farming,Pangasius,Winter,16.3,Sunny,0.0,7.4,0.04,11.5,1,9784,6.1,43.2,639,500,206,87079,-1087,Low,No
2022-01-22,GrowOut-A,Farming,Pangasius,Winter,15.3,Cloudy,0.0,7.5,0.08,11.7,2,9782,6.4,46.0,681,485,206,92713,-1707,Low,No
2022-01-23,GrowOut-A,Farming,Pangasius,Winter,15.1,Cold,0.0,7.4,0.04,10.7,0,9782,6.9,51.7,673,747,197,99629,-2106,Low,No
2022-01-24,GrowOut-A,Farming,Pangasius,Winter,15.6,Cloudy,0.0,7.4,0.03,12.0,2,9780,5.3,43.4,606,868,211,89578,-1900,Low,No
2022-01-25,GrowOut-A,Farming,Pangasius,Winter,14.5,Cold,0.0,7.3,0.03,11.8,0,9780,5.0,40.5,542,618,200,79218,-1915,Low,No
2022-01-26,GrowOut-A,Farming,Pangasius,Winter,15.7,Cold,0.0,7.0,0.04,11.3,1,9779,5.1,36.3,487,699,210,74553,-1799,Low,No
2022-01-27,GrowOut-A,Farming,Pangasius,Winter,15.2,Cold,0.0,7.5,0.03,10.9,1,9778,8.2,62.6,790,464,192,117536,-1616,Low,No
2022-01-28,GrowOut-A,Farming,Pangasius,Winter,14.5,Cold,0.0,7.7,0.01,11.6,0,9778,8.0,60.8,846,776,207,123062,-2110,Low,No
2022-01-29,GrowOut-A,Farming,Pangasius,Winter,16.4,Cloudy,0.0,7.6,0.05,10.5,1,9777,6.8,50.7,701,492,202,100140,-1665,Low,No
2022-01-30,GrowOut-A,Farming,Pangasius,Winter,16.9,Cloudy,0.0,7.2,0.02,10.7,0,9777,7.5,61.5,721,744,207,124466,-2116,Low,No
2022-01-31,GrowOut-A,Farming,Pangasius,Winter,17.3,Cloudy,0.0,7.6,0.04,10.6,2,9775,8.6,67.6,836,536,210,138794,-1546,Low,No
2022-02-01,GrowOut-A,Farming,Pangasius,Winter,15.5,Cloudy,0.0,7.3,0.02,11.8,0,9775,8.9,64.6,1001,484,203,128187,-1611,Low,No
2022-02-02,GrowOut-A,Farming,Pangasius,Winter,16.0,Sunny,0.0,7.5,0.05,11.5,0,9775,7.1,50.4,751,457,199,98039,-769,Low,No
2022-02-03,GrowOut-A,Farming,Pangasius,Winter,14.8,Cold,0.0,7.6,0.02,11.8,0,9775,6.5,48.7,645,630,203,96637,-1327,Low,No
2022-02-04,GrowOut-A,Farming,Pangasius,Winter,17.0,Cold,0.0,7.5,0.04,11.3,0,9775,8.7,70.8,963,655,197,136338,-1450,Low,No
2022-02-05,GrowOut-A,Farming,Pangasius,Winter,14.7,Sunny,0.0,7.3,0.05,11.4,0,9775,8.5,60.6,930,520,199,117881,-1655,Low,No
2022-02-06,GrowOut-A,Farming,Pangasius,Winter,15.6,Cold,0.0,7.5,0.03,11.3,0,9775,8.5,61.9,935,476,208,125855,-1663,Low,No
2022-02-07,GrowOut-A,Farming,Pangasius,Winter,16.0,Sunny,0.0,7.4,0.03,11.7,0,9775,8.4,63.3,811,534,209,129320,-1963,Low,No
2022-02-08,GrowOut-A,Farming,Pangasius,Winter,17.9,Cold,0.0,7.9,0.02,10.3,0,9775,7.7,60.8,819,711,201,119458,-1133,Low,No
2022-02-09,GrowOut-A,Farming,Pangasius,Winter,16.7,Cloudy,0.0,7.9,0.04,10.5,2,9773,10.0,80.2,1013,567,214,167766,-1456,Low,No
2022-02-10,GrowOut-A,Farming,Pangasius,Winter,16.5,Cold,0.0,7.0,0.03,11.2,1,9772,11.0,77.6,1187,656,205,155469,-2020,Low,No
2022-02-11,GrowOut-A,Farming,Pangasius,Winter,16.6,Cold,0.0,7.5,0.03,10.9,0,9772,8.4,61.3,893,495,197,118008,-1844,Low,No
2022-02-12,GrowOut-A,Farming,Pangasius,Winter,16.8,Cloudy,0.0,7.7,0.03,10.7,1,9771,10.1,78.6,973,560,212,162833,-1681,Low,No
2022-02-13,GrowOut-A,Farming,Pangasius,Winter,16.8,Sunny,0.0,7.8,0.02,11.3,1,9770,9.3,76.2,1067,744,213,158589,-1119,Low,No
2022-02-14,GrowOut-A,Farming,Pangasius,Winter,18.1,Cloudy,0.0,7.6,0.05,10.8,0,9770,9.4,73.3,1070,510,211,151106,-806,Low,No
2022-02-15,GrowOut-A,Farming,Pangasius,Winter,17.3,Sunny,0.0,7.6,0.03,11.3,0,9770,11.4,86.9,1221,773,199,168954,-1420,Low,No
2022-02-16,GrowOut-A,Farming,Pangasius,Winter,17.4,Cloudy,0.0,7.6,0.02,11.1,0,9770,10.8,82.0,1222,473,202,161830,-1902,Low,No
2022-02-17,GrowOut-A,Farming,Pangasius,Winter,16.3,Cloudy,0.0,7.4,0.03,11.3,0,9770,10.7,87.3,1044,891,213,181672,-1176,Low,No
2022-02-18,GrowOut-A,Farming,Pangasius,Winter,16.9,Sunny,0.0,7.2,0.03,10.1,1,9769,12.5,99.5,1215,875,215,209005,-1466,Low,No
2022-02-19,GrowOut-A,Farming,Pangasius,Winter,16.8,Sunny,0.0,7.5,0.03,10.3,0,9769,8.8,67.0,933,643,208,136141,-1388,Low,No
2022-02-20,GrowOut-A,Farming,Pangasius,Winter,17.0,Cold,0.0,7.2,0.04,11.3,2,9767,12.1,97.4,1210,496,208,197912,-1730,Low,No
2022-02-21,GrowOut-A,Farming,Pangasius,Winter,16.2,Cloudy,0.0,7.5,0.03,11.5,0,9767,13.9,108.0,1578,557,217,228899,-708,Low,No
2022-02-22,GrowOut-A,Farming,Pangasius,Winter,17.4,Cold,0.0,7.2,0.02,10.7,1,9766,13.3,106.5,1459,599,195,202836,-2424,Low,No
2022-02-23,GrowOut-A,Farming,Pangasius,Winter,18.2,Cloudy,0.0,7.4,0.05,10.9,1,9765,13.5,107.7,1355,804,209,219826,-1661,Low,No
2022-02-24,GrowOut-A,Farming,Pangasius,Winter,18.6,Sunny,0.0,7.2,0.03,10.5,1,9764,13.2,100.2,1470,657,202,197648,-1306,Low,No
